B2094757D16DA1F5429E, 29, 南城香(科丰桥店) 116.29034, 39.83539, 64 68, 快餐厅, 丰台区科丰桥南欧尚超市斜对面
B2094757D164ABF94892, 6, anita's流量危机 116.29336369, 39.845249852, 500, 未知分类, 北京没流量的日子真难过T.T
B2094654D16EA7FE469A, 28, 天下儒寓小区 116.297093, 39.838114, 44 47, 住宅区, 丰台区西南四环科丰桥东北角
B2094757D068A6FB499D, 7, TU凸空间 116.29034769, 39.841974912, 260, 其他, 北京市
B2094654D16EA4F5479F, 311, 恒富中街6号院 116.29628, 39.83427, 44 47, 住宅区, 
B2094450DA68A4F5449F, 51, 新华街五里(东区) 116.28396874936551, 39.842353501743816, 44 47, 住宅区, None
B2094654D16EA3F84992, 18, 鑫三角休闲俱乐部 116.29917, 39.84261, 169 170, KTV, 
B2094753D66FA7FB459A, 9, 味多美(看丹桥店) 116.28563, 39.8403, 64 67, 甜品店, 西四环南路101号
B2094654D16EA7FE459A, 74, 北京市第八中学怡海分校国际部 116.29364325003921, 39.8352850041248, 51, 校园生活, 
B2094757D16DAAF9459A, 8, 中国农业大学第三教学楼 116.296272199, 39.8425214023, 500, 未知分类, 北京海淀区清华东路17号
B2094757D668A1FD4999, 24, 必胜宅急送（富丰桥店） 116.28586, 39.83586, 64 93 94, 西餐厅, 丰台区丰台镇富丰路2号星火科技大厦1楼
B2094654D36CA1FD4093, 15, 北京留学人员创业园 116.29263, 39.83726, 44 45, 产业园区, 科兴路9
B2094654D164A7FD499B, 10, 永和大王（欧尚店） 116.28912, 39.83582, 64 68, 快餐厅, 丰台区邻枫路1号欧尚超市3楼(近富丰桥)
B2094654D36CA1FE439E, 5, 丰铁文化宫 116.28802, 39.84037, 169 188, 文化宫, 丰台区丰台南路122号
B2094654D36CA1FC4399, 10, 国泰动物医院 116.28771, 39.83777, 19 162, 医院, 
B2094757D664A4FC469D, 5, 海港居老北京炸酱面大王（文体路店） 116.28609, 39.8482, 64 68, 快餐厅, 丰台区文体路口(丰台火车站斜对面)
B2094654D36CA1FF4193, 53, 韩庄子东里 116.29972, 39.846072, 44 47, 住宅区, 西四环富丰桥东
B2094450D56AA2F5469C, 16, 东升地28号院 116.282943221749, 39.842990335948855, 44 47, 住宅区, None
B2094654D16DABF8439C, 5, 北京市丰台区大桥南街三号院(东门) 116.28495, 39.84454, 44 47, 住宅区, 
B2094750D76EAAFF439E, 7, 大江峡酒楼 116.285, 39.8353, 64 69 81, 湖北菜, 丰台区富丰路4号工商联大厦1-2楼(富丰桥西南侧)
B2094757D66DA2FD459D, 17, 酷玩台球俱乐部 116.28758, 39.84795, 169 171, 台球厅, 丰台区正阳大街127号B1楼
B2094654D265AAF44399, 206, 东大街66号小区 116.2946, 39.85177, 44 47, 住宅区, 东大街66号
B2094654D16DA4FF479D, 3, 丰台铁路单身公寓(南门) 116.28503, 39.8446, 44 47, 住宅区, 
B2094757D168A6FD419E, 24, 丰和轩餐厅 116.28423, 39.84932, 64 68, 快餐厅, 丰台区丰台镇南四环路98号
B2094757D16FA4F84399, 122, 工商联大厦 116.28482818, 39.835372924, 44 252, 楼宇机构, 北京丰台区富丰路4号
B2094654D16CA6FA419A, 14, 福祥居（富丰路店） 116.28527, 39.83568, 64 69 80, 北京菜, 丰台区科学城富丰路4号工商联大厦1楼
B2094654D36CA1FC459A, 17, 乐华梅兰 116.28836, 39.83576, 115 123, 家具建材市场, 丰台区邻枫路1号
B2094757D66EABF9439C, 36, Vivien's 116.282363999, 39.8434916847, 44 47, 住宅区, 北京丰台南路
B2094654D16EA3F8449F, 24, 丰台科技园生态主题公园(西门) 116.2938, 39.83917, 260 656, 大门, 
B2094654D169A7F4449E, 8, 北京市丰台百货商场 116.2908, 39.84966, 115 119, 商场, 北京市丰台区正阳大街127号
B2094757D66DA4F9499B, 15, 吉野家(欧尚科兴店) 116.28869539, 39.834042255, 64 68, 快餐厅, 丰台区西四环南路1号资和信百货B1楼(看丹桥南侧)
B2094654D36CA1FD4993, 20, 北京市丰台区实验小学 116.29307, 39.83597, 51 56, 小学, 丰台区恒富街1号
B2094654D16EABFA489D, 8, 韩庄子东里小区(东门) 116.2933, 39.83984, 260 656, 大门, 
B2094654D16BAAFF499C, 65, 丰台公安分局丰台镇派出所 116.2908, 39.84966, 44 609, 警察局, 北京市丰台区丰台镇正阳大街37号
B2094757D66FA1F54192, 8, 创新大厦 116.28622669, 39.839575955, 500, 未知分类, 北京市西四环南路101号
B2094654D069A7F94899, 62, 城市经典 116.29222, 39.8337, 44 47, 住宅区, 丰泽街8
B2094654D16EA7FD439F, 29, 造甲南里 116.30133, 39.8415, 44 47, 住宅区, 造甲南里20
B2094654D16EA5F44698, 139, 韩庄子第二社区(北一门) 116.28956, 39.83895, 260 656, 大门, 花乡
B2094654D16EA5FA4498, 8, 新华街三里(东门) 116.2923, 39.84583, 260 656, 大门, 
B2094757D56EA0FB4599, 52, 怡海幼儿园 116.29961019, 39.83667562, 51 57, 幼儿园, 中国北京市丰台区
B2094654D36AA3FD4198, 11, 一亩田 116.29237, 39.83338, 64 69 71, 四川菜, 丰台区丰台科学城帝京路5号城市经典C座1楼
B2094654D36CA3FE4399, 6, 看丹红宾馆 116.30064, 39.84369, 194 250, 公园户外, 丰台区丰台东路造甲村113号
B2094654D36CA3FE499B, 21, 建国街二里(西门) 116.29234, 39.84642, 260 656, 大门, 
B2094654D16DA7F5489B, 13, 新兴铸管集团人才学院 116.30198, 39.84201, 51 52, 高等院校, 
B2094654D16EA5FB429E, 31, 韩庄子小区(南三门) 116.29068, 39.83897, 260 656, 大门, 花乡
B2094757D669A4FB499C, 4, 玉老弟 116.290798, 39.833608, 64 69 257, 中餐厅, 丰台区西南四环韩庄子
B2094450D569AAFA479C, 6, 金泰银丰大厦 116.29147647177469, 39.85205123827192, 44 46, 楼宇, None
B2094654D16DA3F54299, 3, 新村一里(北门) 116.30171, 39.84144, 44 47, 住宅区, 
B2094757D16FA7F84292, 34, 富丰桥南公交站 116.2872885, 39.834867138, 19 38, 公交车站, 北京丰台区西四环南路()尚科兴店西南侧
B2094654D068A5FA469F, 6, 清真寺(文体路) 116.2861, 39.84978, 194 246, 回教寺, 电报局街5号
B2094654D16EA5FA449E, 9, 建国街二里(北门) 116.29273, 39.84696, 260 656, 大门, 
B2094757D664A2FE4193, 6, 雪郎酒吧 116.28513, 39.84709, 260, 其他, 丰台区正阳桥(近丰台火车站)
B2094654D16EABFF409A, 12, 永善里小区 116.28605, 39.84949, 44 47, 住宅区, 
B2094753D36EA5FF4792, 20, 夜时尚台球(丰台火车站店) 116.287142, 39.848467, 169 175, 棋牌室, 正阳北里18号楼
B2094654D16EA5F9409D, 58, 韩庄子小区(西门) 116.28733, 39.83863, 260 656, 大门, 花乡
B2094654D16EA5F9499A, 21, 永善里(西门) 116.28434, 39.84915, 44 47, 住宅区, 
B2094654D36AA3FD449D, 5, 审美专业美容美发 116.29566, 39.83383, 19 148, 美容美发店, 帝京路
B2094654D66DA6FC4299, 27, 科丰桥北公交站 116.29214, 39.83324, 19 38, 公交车站, 
B2094757D168A1F5449B, 13, 冠京隆 116.28277, 39.83975, 115 249, 购物服务, 丰台区看丹桥8号院斜对面(看丹桥西侧)
B2094654D16EA3F8449D, 28, 丰台科技园生态主题公园(南门) 116.29572, 39.83728, 260 656, 大门, 
B2094654D16EA5F94199, 19, 韩庄子第二社区(西门) 116.28761, 39.83789, 260 656, 大门, 
B2094654D16EA5F5479E, 4, 韩庄子三里(南门) 116.29128, 39.83699, 260 656, 大门, 
B2094654D16DA1FC449E, 4, 永善社区 116.28601, 39.85067, 44 47, 住宅区, 
B2094654D36CA3FD499D, 9, 孟家村小区 116.29852983203189, 39.8467681700161, 601 689, 村庄, 
B2094654D06EA4F54693, 8, 金宝纯别墅 116.28755, 39.83336, 44 47, 住宅区, 顺义区马坡
